link,type,location,price,views
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/affordable-room-with-toilet-21,Single Room,"Small Soppo, Buea","18,000 FCFA",933
https://www.digitalrenter.com/en/Apartment/Small%20Soppo/Buea/newly-constructed-apartment-100,Apartment,"Small Soppo, Buea","75,000 FCFA",917
https://www.digitalrenter.com/en/Apartment/Paramount%20-%20St%20Clair/Buea/beautiful-apartment-for-rent-57,Apartment,"Paramount - St Clair, Buea","65,000 FCFA",913
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/spacious-bedroom-for-you-20,Single Room,"Small Soppo, Buea","12,000 FCFA",910
https://www.digitalrenter.com/en/Single%20Room/Bomaka/Buea/amazing-new-room-27,Single Room,"Bomaka, Buea","35,000 FCFA",862
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/single-room-in-calm-environmen-18,Single Room,"Small Soppo, Buea","11,000 FCFA",847
https://www.digitalrenter.com/en/Studio/Mile%2018/Mile%2018/newly-constructed-studio-120,Studio,Mile 18,"50,000 FCFA",832
https://www.digitalrenter.com/en/Apartment/Mile%2018/Mile%2018/cool-apartment-for-rent-106,Apartment,Mile 18,"55,000 FCFA",818
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/clean-room-in-fenced-compound-175,Single Room,"Sosoliso, Buea","2,000 FCFA",568
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/2-bedrooms-spacious-apartment-187,Apartment,"Check Point, Buea","80,000 FCFA",531
https://www.digitalrenter.com/en/Studio/Bonduma/Buea/a-newly-built-studio-apartment-161,Studio,"Bonduma, Buea","60,000 FCFA",520
https://www.digitalrenter.com/en/Studio/Santa%20Barbara/Buea/studio-to-let-268,Studio,"Santa Barbara, Buea","40,000 FCFA",515
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/new-hostel-around-ub-156,Single Room,"Molyko, Buea","30,000 FCFA",500
https://www.digitalrenter.com/en/Studio/Biaka%20Institute/Buea/a-studio-available-for-rent-159,Studio,"Biaka Institute, Buea","35,000 FCFA",494
https://www.digitalrenter.com/en/Studio/Buea/Buea/a-clean-big-and-new-studio-215,Studio,Buea,"35,000 FCFA",492
https://www.digitalrenter.com/en/Studio/Great%20soppo/Buea/new-clean-studio-in-quiet-env-209,Studio,"Great soppo, Buea","35,000 FCFA",454
https://www.digitalrenter.com/en/Apartment/Boaster/Buea/apartment-to-let-280,Apartment,"Boaster, Buea","80,000 FCFA",448
https://www.digitalrenter.com/en/Store/Malingo/Buea/big-stores-to-let-176,Store,"Malingo, Buea","30,000 FCFA",448
https://www.digitalrenter.com/en/Single%20Room/Bakweri%20Town/Buea/single-available-to-let-208,Single Room,"Bakweri Town, Buea",,400
https://www.digitalrenter.com/en/Studio/Buea/Buea/a-newly-built-studio-to-let-214,Studio,Buea,"40,000 FCFA",390
https://www.digitalrenter.com/en/Store/Molyko/Buea/store-in-busy-location-225,Store,"Molyko, Buea","400,000 FCFA",382
https://www.digitalrenter.com/en/Studio/Santa%20Barbara/Buea/nice-large-apartment-to-let-266,Studio,"Santa Barbara, Buea","40,000 FCFA",379
https://www.digitalrenter.com/en/Apartment/Buea/Buea/duplicate-lst-39-263,Apartment,Buea,"80,000 FCFA",378
https://www.digitalrenter.com/en/Guest%20House/Sandpit/Buea/westminster-suites-196,"Westminste - 
				
		  		Guest House","Sandpit, Buea",,376
https://www.digitalrenter.com/en/Studio/Sosoliso/Buea/super-cool-and-clean-space-194,Studio,"Sosoliso, Buea","3,500 FCFA",375
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/cool-room-close-to-the-road-174,Single Room,"Sosoliso, Buea","2,000 FCFA",369
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/an-office-space-apartment-206,Apartment,"Great soppo, Buea","100,000 FCFA",355
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/secure-room-close-to-lycee-167,Single Room,"Check Point, Buea","4,500 FCFA",346
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/shared-space-for-1-marker-183,Single Room,"Molyko, Buea","3,000 FCFA",345
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/rentmyroom-shared-room-space-165,Single Room,"Check Point, Buea","3,500 FCFA",341
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/comfortable-room-for-gce-markr-184,Single Room,"Malingo, Buea","2,000 FCFA",329
https://www.digitalrenter.com/en/Apartment/Winners%20Chapel/Buea/new-apartment-to-let-274,Apartment,"Winners Chapel, Buea","40,000 FCFA",323
https://www.digitalrenter.com/en/Studio/Sandpit/Buea/beautify-studio-41,Studio,"Sandpit, Buea","50,000 FCFA",1429
https://www.digitalrenter.com/en/Studio/Check%20Point/Buea/studio-for-rent-87,Studio,"Check Point, Buea","45,000 FCFA",1425
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/residential-commercial-apmt-16,Apartment,"Bonduma, Buea","80,000 FCFA",1381
https://www.digitalrenter.com/en/Store/Malingo/Buea/store-to-let-52,Store,"Malingo, Buea","80,000 FCFA",1376
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/super-apartment-39,Apartment,"Bonduma, Buea","85,000 FCFA",1367
